ID,Target_Form_ID,Source_Form_ID,Comment,Source
123-139_tobecomesmallerremainsmalltoswaytotottertosprain,EAH-139_tobecomesmallerremainsmalltoswaytotottertosprain-1,WOT-139_tobecomesmallerremainsmalltoswaytotottertosprain-1,,wot
124-140_stubborn,EAH-140_stubborn-1,WOT-140_stubborn-1,,wot
125-141_fieldguardheraldturkishenvoy,EAH-141_fieldguardheraldturkishenvoy-1,WOT-141_fieldguardheraldturkishenvoy-1,,wot
126-142_roughcoarseuglywildunbridled,EAH-142_roughcoarseuglywildunbridled-1,WOT-142_roughcoarseuglywildunbridled-1,,wot
127-143_towindtoturntodistrortmisinterprettospinayarn,EAH-143_towindtoturntodistrortmisinterprettospinayarn-1,WOT-143_towindtoturntodistrortmisinterprettospinayarn-1,,wot
128-144_bobbinspindle,EAH-144_bobbinspindle-1,WOT-144_bobbinspindle-1,,wot
129-148_gristgroatssofthail,EAH-148_gristgroatssofthail-1,WOT-148_gristgroatssofthail-1,,wot
130-148_gristgroatssofthail,EAH-148_gristgroatssofthail-2,WOT-148_gristgroatssofthail-2,,wot
131-150_noonsouth,EAH-150_noonsouth-1,WOT-150_noonsouth-1,,wot
132-150_noonsouth,EAH-150_noonsouth-2,WOT-150_noonsouth-2,,wot
133-152_nutwalnutjuglans,EAH-152_nutwalnutjuglans-1,WOT-152_nutwalnutjuglans-1,,wot
134-152_nutwalnutjuglans,EAH-152_nutwalnutjuglans-2,WOT-152_nutwalnutjuglans-2,,wot
135-153_pigsusdomestica,EAH-153_pigsusdomestica-1,WOT-153_pigsusdomestica-1,,wot
136-155_toleantoppleoverstreamdown,EAH-155_toleantoppleoverstreamdown-1,WOT-155_toleantoppleoverstreamdown-1,,wot
137-155_toleantoppleoverstreamdown,EAH-155_toleantoppleoverstreamdown-2,WOT-155_toleantoppleoverstreamdown-2,,wot
138-157_tosqueezetothrustinto,EAH-157_tosqueezetothrustinto-1,WOT-157_tosqueezetothrustinto-1,,wot
139-157_tosqueezetothrustinto,EAH-157_tosqueezetothrustinto-2,WOT-157_tosqueezetothrustinto-2,,wot
140-159_churchbuildingandorganisation,EAH-159_churchbuildingandorganisation-1,WOT-159_churchbuildingandorganisation-1,,wot
141-159_churchbuildingandorganisation,EAH-159_churchbuildingandorganisation-2,WOT-159_churchbuildingandorganisation-2,,wot
142-161_plough,EAH-161_plough-1,WOT-161_plough-1,,wot
143-162_toallowpermitconcedeyieldgiveway,EAH-162_toallowpermitconcedeyieldgiveway-1,WOT-162_toallowpermitconcedeyieldgiveway-1,,wot
144-163_topropitiate,EAH-163_topropitiate-1,WOT-163_topropitiate-1,,wot
145-164_communityworkinagricultureakindofcorvee,EAH-164_communityworkinagricultureakindofcorvee-1,WOT-164_communityworkinagricultureakindofcorvee-1,,wot
146-165_toarrivetoreachgetto,EAH-165_toarrivetoreachgetto-1,WOT-165_toarrivetoreachgetto-1,,wot
147-166_merit,EAH-166_merit-1,WOT-166_merit-1,,wot
148-167_moralsmorality,EAH-167_moralsmorality-1,WOT-167_moralsmorality-1,,wot
149-168_totirelosevitalityslackenrelax,EAH-168_totirelosevitalityslackenrelax-1,WOT-168_totirelosevitalityslackenrelax-1,,wot
150-169_strengthpower,EAH-169_strengthpower-1,WOT-169_strengthpower-1,,wot
151-171_oath,EAH-171_oath-1,WOT-171_oath-1,,wot
152-171_oath,EAH-171_oath-2,WOT-171_oath-2,,wot
